District,Year,Season,Crop,Land Area (ha),Rainfall (mm),Temperature (°C),Humidity (%),Irrigation (%),Fertilizer Usage (kg/ha),Yield (t/ha)
Anantapur,2021,Kharif,Rice,3564.27,530.44,37.21,76.43,63.57,183.77,0.66
Kurnool,2024,Kharif,Maize,3159.45,818.03,28.4,76.3,74.99,152.69,1.06
Krishna,2024,Kharif,Cotton,1441.89,972.97,30.59,65.69,49.73,81.86,2.57
Visakhapatnam,2021,Rabi,Sugarcane,9651.67,926.87,27.58,85.02,57.36,155.83,2.25
East Godavari,2024,Rabi,Pulses,8517.9,1391.84,32.42,72.64,90.6,170.55,4.61
Prakasam,2021,Rabi,Tobacco,8587.35,702.32,33.15,61.65,42.85,96.29,1.25
Srikakulam,2021,Rabi,Pulses,7593.76,1474.4,26.5,88.03,72.83,177.54,3.41
Nellore,2022,Kharif,Maize,7327.99,1199.7,28.67,89.85,62.06,199.46,2.91
Vizianagaram,2020,Rabi,Rice,9262.38,1175.95,25.31,72.24,42.86,148.05,1.75
Guntur,2023,Rabi,Tobacco,8666.82,939.3,31.6,70.88,42.87,100.66,1.4
Kurnool,2020,Rabi,Sugarcane,7049.29,1199.77,28.15,66.8,49.99,132.1,0.85
Srikakulam,2020,Kharif,Tobacco,2064.59,839.36,29.67,57.83,68.41,83.85,2.5
Guntur,2024,Kharif,Cotton,2705.65,1298.05,28.86,56.27,53.0,128.47,1.54
Kadapa,2022,Rabi,Cotton,1880.93,919.97,33.56,74.55,30.78,111.94,0.37
Chittoor,2024,Kharif,Sugarcane,2495.07,690.18,33.39,51.13,68.21,106.29,2.23
Vizianagaram,2024,Kharif,Rice,1740.73,1182.13,31.62,60.83,57.29,90.5,2.62
Kadapa,2021,Kharif,Groundnut,2047.29,650.48,30.04,70.47,57.69,84.04,1.03
Chittoor,2021,Rabi,Groundnut,6043.11,614.57,33.47,56.15,47.17,106.43,0.97
Guntur,2020,Rabi,Cotton,6461.42,1161.31,35.86,61.94,35.82,118.67,1.52
Nellore,2022,Kharif,Pulses,5099.83,990.12,27.36,88.9,62.39,184.6,2.16
Guntur,2021,Kharif,Tobacco,1953.38,1471.95,32.05,87.39,69.88,160.88,1.7
Prakasam,2020,Kharif,Sugarcane,900.73,742.33,26.68,89.15,43.41,173.18,1.16
West Godavari,2022,Rabi,Sugarcane,7400.14,1736.68,24.72,51.53,53.63,174.13,3.17
Guntur,2023,Rabi,Sugarcane,6958.91,908.31,33.63,83.29,79.88,122.34,2.53
Vizianagaram,2024,Rabi,Sugarcane,9376.66,1302.32,28.46,51.11,95.84,93.77,4.15
Chittoor,2022,Rabi,Maize,3034.71,874.89,29.29,69.73,66.2,193.03,2.05
Kurnool,2024,Rabi,Maize,9998.72,717.59,34.02,63.64,69.4,190.41,1.23
Kurnool,2022,Rabi,Maize,2601.18,826.57,29.81,67.43,97.45,81.86,2.93
Visakhapatnam,2020,Kharif,Tobacco,3236.13,1387.64,30.58,58.37,35.04,152.93,1.28
Kurnool,2022,Rabi,Tobacco,8111.6,788.45,33.74,80.25,67.82,117.2,2.29
Chittoor,2024,Rabi,Rice,3662.54,816.51,33.09,52.55,32.53,130.85,0.97
Chittoor,2023,Rabi,Sugarcane,8623.05,967.47,34.49,71.66,30.95,174.9,0.53
Srikakulam,2023,Rabi,Tobacco,6005.4,1524.51,31.7,52.3,85.05,117.91,3.52
Srikakulam,2022,Rabi,Maize,5702.97,1332.11,31.08,89.1,71.57,97.29,3.96
Anantapur,2022,Rabi,Cotton,740.48,355.43,31.78,77.75,33.6,133.5,0.46
Krishna,2021,Rabi,Maize,8682.57,1552.76,27.08,66.48,38.08,169.79,2.66
Visakhapatnam,2024,Kharif,Sugarcane,8786.2,1237.77,28.12,68.93,69.39,109.02,1.65
Krishna,2022,Rabi,Groundnut,1951.93,1584.12,31.53,53.67,78.15,120.18,3.9
Srikakulam,2023,Kharif,Cotton,621.13,907.17,30.63,56.76,98.57,166.0,4.66
Kadapa,2021,Rabi,Groundnut,4576.59,724.23,28.96,72.36,42.86,88.05,0.67
East Godavari,2024,Rabi,Pulses,5506.38,1446.57,31.7,60.41,31.73,84.1,1.99
Chittoor,2020,Rabi,Rice,3236.59,765.48,28.94,69.61,58.93,94.04,2.02
Prakasam,2020,Kharif,Cotton,1200.16,963.51,34.54,86.45,98.28,198.77,3.25
Anantapur,2023,Kharif,Tobacco,4269.51,754.05,35.78,64.18,35.5,135.2,0.26
Krishna,2021,Kharif,Maize,8427.08,965.08,33.63,51.61,33.18,86.9,1.87
Anantapur,2021,Rabi,Chili,2936.41,558.7,37.59,51.98,78.39,105.83,1.08
Chittoor,2020,Rabi,Cotton,1561.36,732.83,30.78,71.78,55.38,170.38,1.58
Kadapa,2020,Rabi,Cotton,5568.7,760.57,28.79,67.76,50.46,152.74,1.27
Nellore,2023,Kharif,Rice,8668.19,829.49,32.73,79.48,56.42,105.64,2.37
Guntur,2024,Rabi,Maize,5768.87,842.57,35.78,74.03,35.6,177.19,1.29
Prakasam,2024,Kharif,Chili,1426.06,690.63,27.36,66.71,76.9,183.88,1.8
Nellore,2024,Rabi,Rice,3512.28,931.06,26.55,81.32,95.27,125.64,3.76
East Godavari,2023,Rabi,Chili,9432.59,1746.1,31.15,82.63,58.68,98.95,4.13
West Godavari,2022,Rabi,Tobacco,8556.43,1381.94,29.55,58.39,86.19,129.54,4.33
West Godavari,2022,Kharif,Tobacco,1728.88,1273.3,25.45,69.41,89.47,157.64,3.69
Srikakulam,2024,Rabi,Cotton,2017.21,846.41,28.17,68.54,85.88,182.19,4.54
Kadapa,2024,Kharif,Tobacco,4214.77,993.39,35.83,74.72,39.5,173.13,0.68
Anantapur,2022,Rabi,Chili,5730.05,581.7,32.08,84.11,64.95,198.31,0.77
Chittoor,2023,Kharif,Chili,2029.21,768.79,30.58,59.32,98.05,168.02,1.94
Nellore,2021,Kharif,Rice,2767.5,1171.4,26.11,78.59,99.83,139.56,2.56
Nellore,2020,Rabi,Pulses,6407.51,689.12,35.5,81.86,72.02,113.31,3.17
Prakasam,2021,Rabi,Rice,5409.41,742.63,28.02,64.25,83.43,123.8,1.11
West Godavari,2024,Kharif,Cotton,6799.26,1327.75,27.81,72.5,50.49,171.71,1.84
Kurnool,2024,Kharif,Maize,7228.72,915.51,34.75,74.21,64.61,159.89,1.7
East Godavari,2024,Kharif,Tobacco,3398.72,1074.68,30.74,77.56,40.4,158.03,1.41
Visakhapatnam,2024,Rabi,Chili,5287.69,1042.01,28.43,84.93,68.07,132.81,1.87
Guntur,2022,Kharif,Maize,5293.56,1435.37,27.32,85.41,51.12,86.69,2.42
